new_id,prev_id,name,prev_steps,new_steps,diff,prev_solution,new_solution,note
0-1,0-1,Move 移動,16,16,+0,UUUURRDRRURRDDDD,UUUURRDRRURRDDDD,
0-2,0-2,Push 推動,FAIL,15,N/A,,UUUURRRURRUULLL,
0-3,0-3,Goal 目標,29,29,+0,LULLDLLDLDDRUUDDRRDRRURURULLR,LULLDLLDLDDRUUDDRRDRRURURULLR,
0-4,0-4,Diverge 分裂,10,10,+0,RVRTURRDDC,RVRTURRDDC,
0-5,0-5,Merge 合併,9,10,+1,VDTLDRRCL,VDRRTRDDLC,***
0-6,0-7,Shadow 殘影,11,11,+0,VDRRTRDDRDC,VDRRTRDDRDC,
1-1,1-1,Shelter 避難所,9,9,+0,VRRUCDXDR,RVRUCDXDR,
1-2,1-2,Corner 轉角,16,16,+0,VURRRTRUURRUCDXD,VURRRTRUURRUCDXD,
1-3,1-3,2nd Diverge 二次分裂,26,24,-2,VDLLLCDLVRURXRTRULXRRUCDXD,DLVLLDLCRULVRXRTXRRUCDXD,***
1-4,1-4,Crossroad 十字路口,16,16,+0,VUULCLVRXRUCDXDR,UVULLCRVXRUCDXDR,
1-5,1-5,2nd Converge 二次收束,20,20,+0,UVDLLLCVRXRTXRRUCDXD,UVDLLLCVRXRTXRRUCDXD,
1-6,1-6,Triple 三重,24,22,-2,RRDDLLVRRRDLLTCVDRXRRLLC,DRURDDVRDLLTLDRCVXRLLC,***
1-7,1-7,Corridor 走廊,32,32,+0,LLVRDLLLTLDRRCVXLUXLURRRLLLLCRXL,LLVRDLLLTLDRRCVXLUXLURRRLLLLCRXL,
removed,0-6,Overlap ���|,7,N/A,removed,RVRDDRC,,level removed
