id,name,prev_steps,new_steps,diff,prev_time_s,new_time_s,prev_solution,new_solution
2-1,Hole 坑洞,14,14,+0,0,0.00,URRRRUUDLLUUUU,URRRRUUDLLUUUU
2-2,Bridge 橋,25,25,+0,0.04,0.05,UULLRDDLLUUURRDLLDLUUUUUU,UULLRDDLLUUURRDLLDLUUUUUU
2-3,Multifunction 多功能,34,34,+0,30.23,22.00,VRRUULLDRRDRUUUUTUURRDDLUULURRRRCU,VUURRDDLUULURRRRTRRUULLDRRDRUUUURC
2-4,Give way 讓路,19,19,+0,0.41,0.91,LVULLTLUUDDCUXUUUUU,LVULLTLUUDDCUXUUUUU
2-5,Support 支撐,25,25,+0,0.54,0.61,VRUULURRTURRCRRRULLDLUUUU,VRUULURRTURRRRRULCLDLUUUU
2-6,Extract 抽取,32,30,-2,1.45,1.66,VRUUUURRRDDTURRRRUUULLCVRDXDLCLL,VURRRRUUULLTRUUUURRCRDXDVDLLLC
2-7,Shadow Bridge 影橋,29,29,+0,1.39,1.28,VLLUUTUULLDDLUUURRCLXLDLUUUUU,VUULLTLLUURRULLDLUUDDCUXUUUUU
2-8,Bridge and Shadow 橋與影,TIMEOUT,49,N/A,120,465.04,,LVRRRULLDLUUDLLURRDRUUUTLURRDRUUDRRULLDCLUVXUUUUC
2-9,Swap 置換,46,46,+0,16.69,8.17,RVRRRRRUULDDRDLLLTCXRRRDRRULLUXURULLDDDLUUUUUU,RVRRRRRUULDDRDLLLTCXRRRDRRULLUXURULLDDDLUUUUUU
2-10,Swap Bridge 置換橋,40,38,-2,3.97,5.01,RRUVUDLLURRDRUUTCXUDLVLURXRDRUUUDCUXUUUU,RRUVUDLLURRDRUUTCXUVUDDLLURCXRDRUUUUUU
