id,name,mode,max_depth,status,steps,solution
0-1,Move 移動,bfs,80,PASS,16,UUUURRDRRURRDDDD
0-2,Push 推動,bfs,80,PASS,15,UUUURRRURRUULLL
0-3,Goal 目標,bfs,80,PASS,29,LULLDLLDLDDRUUDDRRDRRURURULLR
0-4,Diverge 分裂,bfs,80,PASS,10,RVRTURRDDC
0-5,Merge 合併,bfs,80,PASS,10,VDRRTRDDLC
0-6,Shadow 殘影,bfs,80,PASS,11,VDRRTRDDRDC
1-1,Shelter 避難所,bfs,80,PASS,9,RVRUCDXDR
1-2,Corner 轉角,bfs,80,PASS,16,VURRRTRUURRUCDXD
1-3,2nd Diverge 二次分裂,bfs,80,PASS,24,DLVLLDLCRULVRXRTXRRUCDXD
1-4,Crossroad 十字路口,bfs,80,PASS,16,UVULLCRVXRUCDXDR
1-5,2nd Converge 二次收束,bfs,80,PASS,20,UVDLLLCVRXRTXRRUCDXD
1-6,Triple 三重,bfs,80,PASS,22,DRURDDVRDLLTLDRCVXRLLC
1-7,Corridor 走廊,bfs,80,PASS,32,LLVRDLLLTLDRRCVXLUXLURRRLLLLCRXL
