id,name,mode,max_depth,status,steps,time_s,solution
2-1,Hole 坑洞,bfs,80,PASS,14,0.00,URRRRUUDLLUUUU
2-2,Bridge 橋,bfs,80,PASS,25,0.05,UULLRDDLLUUURRDLLDLUUUUUU
2-3,Multifunction 多功能,bfs,80,PASS,34,22.00,VUURRDDLUULURRRRTRRUULLDRRDRUUUURC
2-4,Give way 讓路,bfs,80,PASS,19,0.91,LVULLTLUUDDCUXUUUUU
2-5,Support 支撐,bfs,80,PASS,25,0.61,VRUULURRTURRRRRULCLDLUUUU
2-6,Extract 抽取,bfs,80,PASS,30,1.66,VURRRRUUULLTRUUUURRCRDXDVDLLLC
2-7,Shadow Bridge 影橋,bfs,80,PASS,29,1.28,VUULLTLLUURRULLDLUUDDCUXUUUUU
2-8,Bridge and Shadow 橋與影,bfs,80,PASS,49,465.04,LVRRRULLDLUUDLLURRDRUUUTLURRDRUUDRRULLDCLUVXUUUUC
2-9,Swap 置換,bfs,80,PASS,46,8.17,RVRRRRRUULDDRDLLLTCXRRRDRRULLUXURULLDDDLUUUUUU
2-10,Swap Bridge 置換橋,bfs,80,PASS,38,5.01,RRUVUDLLURRDRUUTCXUVUDDLLURCXRDRUUUUUU
