"id","mode","max_depth","timeout_s","status","elapsed_s","steps","solution"
"2-1","fast","80","120","PASS","0","14","URRRRUUDLLUUUU"
"2-2","fast","80","120","PASS","0.04","25","UULLRDDLLUUURRDLLDLUUUUUU"
"2-3","fast","80","120","PASS","30.23","34","VRRUULLDRRDRUUUUTUURRDDLUULURRRRCU"
"2-4","fast","80","120","PASS","0.41","19","LVULLTLUUDDCUXUUUUU"
"2-5","fast","80","120","PASS","0.54","25","VRUULURRTURRCRRRULLDLUUUU"
"2-6","fast","80","120","PASS","1.45","32","VRUUUURRRDDTURRRRUUULLCVRDXDLCLL"
"2-7","fast","80","120","PASS","1.39","29","VLLUUTUULLDDLUUURRCLXLDLUUUUU"
"2-8","fast","80","120","TIMEOUT","120",,""
"2-9","fast","80","120","PASS","16.69","46","RVRRRRRUULDDRDLLLTCXRRRDRRULLUXURULLDDDLUUUUUU"
"2-10","fast","80","120","PASS","3.97","40","RRUVUDLLURRDRUUTCXUDLVLURXRDRUUUDCUXUUUU"
