id,name,status,steps,time_s,used_depth,solution
0-1,Move 移動,PASS,11,0.00,80,UUURRRRRDDD
0-2,Push 推動,PASS,14,0.00,80,UUURRRURRUULLL
0-3,Goal 目標,PASS,19,0.00,80,LLDLLDDDRDRRRURULLR
0-4,Diverge 分裂,PASS,10,0.02,80,RVRTURRDDC
0-5,Multitask 多工,PASS,9,0.01,80,VDTLDRRLC
0-6,Shadow 殘影,PASS,11,0.03,80,VDRRTRDDRDC
0-7,Converge 收束,PASS,13,0.03,80,RVRRCLXLLRRRR
1-1,Shelter 避難所,PASS,9,0.01,80,VRRUCDXDR
1-2,Corner 轉角,PASS,16,0.09,80,VURRRTRUURRUCDXD
1-3,2nd Diverge 二次分裂,PASS,27,0.34,80,UVDLLLDLUCVRURXRTXRURRUCDXD
1-4,Crossroad 十字路口,PASS,18,0.03,80,DVUULCRXLVRRUCDXDR
1-5,2nd Converge 二次收束,PASS,20,0.05,80,UVDLLLCVRXRTXRRUCDXD
1-6,Triple 三重,PASS,26,12.24,80,RRDDLLVDRRTUCVRRDXRDLLTDDC
2-1,Hole 坑洞,PASS,14,0.00,80,URRRRUUDLLUUUU
2-2,Bridge 橋,PASS,25,0.06,80,UULLRDDLLUUURRDLLDLUUUUUU
2-3,Multifunction 多功能,PASS,34,41.36,80,VUURRDDLUULURRRRTRRUULLDRRDRUUUURC
2-4,Give way 讓路,PASS,20,1.29,80,ULVULLTLUUDDCUXUUUUU
2-5,Support 支撐,PASS,26,0.89,80,RUVULURRTLURRRRRULCLDLUUUU
2-6,Corner case 特殊案例,PASS,27,0.93,80,VURRRRUUULLTRUUUURRRDDDCLLL
2-7,Extract 抽取,PASS,32,2.10,80,VRUUUURRRDDTURRRRUUULLCVRDXDLLLC
2-8,Shadow Bridge 影橋,PASS,29,2.02,80,VUULLTLLUURRULLDLUUDDCUXUUUUU
2-9,Bridge and Shadow 橋與影,PASS,49,490.90,80,LVRRRULLDLUUDLLURRDRUUUTLURRDRUUDRRULLDCVLUXUUUUC
2-10,Swap 置換,PASS,46,13.75,80,RVRRRRRUULDDRDLLLTCXRRRDRRULLUXURULLDDDLUUUUUU
2-11,Swap Bridge 置換橋,PASS,40,5.96,80,RRUVUDLLURRDRUUTCXUDLVLURXRDRUUUDCUXUUUU
3-1,Pick 拾取,PASS,24,0.99,80,RPDORPRUODDPUODRPLLDORRR
3-2,Spin 旋轉,PASS,16,0.61,80,RUVPLLTUURCPLOLL
3-3,No carry 手持禁止,PASS,19,0.06,80,LLPROLVRPLORRCLXPDO
3-4,Double Corner 雙轉角,PASS,20,0.40,80,RVRTPDORRRCLVXPDOLLC
3-5,Recycle 再循環,PASS,29,17.42,80,RUVUURPTPLOCVXPUUULOLCRXPLOLD
3-6,Narrow entrance 狹窄入口,PASS,28,3.63,80,VUUDDLPUOUUTCVUXUUUCDXPDROUL
3-7,Zip 拉鏈,PASS,50,878.12,80,RVLPUORPLLUUTCVLUXUTLXPUUODRCVLXPUUUOTCXPLLUUUUOUU
